stop_id,	stop_code,	stop_name,	stop_desc,	stop_lat,	stop_lon,	zone_id,	stop_url

Stop ID is used with the Stop Time. At a certain departure time, look for what departure times 
1485R,,"Graham Hill & Rollingwoods",,  37.025993,-122.038315,,
1486R,,"Graham Hill & Graham Hill Plaza",,  37.014301,-122.034302,,
1487R,,"Graham Hill & Treetop",,  37.015747,-122.034515,,
1488R,,"Graham Hill & Cress",,  37.022614,-122.037094,,
1489R,,"Graham Hill & Cress",,  37.022991,-122.037003,,
1490R,,"Graham Hill & Rollingwoods",,  37.025383,-122.038223,,
1491R,,"Graham Hill & Henry Cowell Park",,  37.031761,-122.040810,,
1492R,,"Graham Hill & Covered Bridge",,  37.052555,-122.072395,,
1493R,,"Grandview & Mission",,  36.960922,-122.049515,,
1497R,,"Granite Creek & North Navarra",,  37.059799,-122.001030,,
1498R,,"Granite Creek & Meadow (Navarra)",,  37.060608,-122.002617,,
1499R,,"Grant & Grant Park",,  36.985538,-122.021599,,
1501R,,"Hagar & East Remote (UCSC)",,  36.991314,-122.054665,,
1505R,,"Heller & Oakes College (UCSC)",,  36.989944,-122.067200,,
1509R,,"Heller & Kresge College (UCSC)",,  36.999287,-122.064552,,
1510R,,"High & Western Dr",,  36.978645,-122.057823,,
1512R,,"High & Moore",,  36.977596,-122.048607,,
1513R,,"High & Moore",,  36.977859,-122.048325,,
1515R,,"High & Laurent",,  36.977737,-122.042374,,
1516R,,"High & Highland",,  36.977901,-122.033669,,
1517R,,"Highland & Escalona",,  36.976994,-122.032921,,
1519R,,"Highway 1 & Cement Plant Entrance",,  37.014477,-122.201057,,
1520R,,"Highway 1 & (Davenport Cash Store)",,  37.010872,-122.194145,,
1521R,,"Highway 1 & Coast Rd (Pipeline)",,  36.982559,-122.143456,,
1525R,,"Highway 9 & Russell (Quik Stop)",,  37.047657,-122.073280,,
1527R,,"Highway 9 & #6519",,  37.055630,-122.075081,,
1529R,,"Highway 9 & Viking Cottages",,  37.058273,-122.077408,,
1530R,,"Highway 9 & SLV High School",,  37.061310,-122.080154,,
1531R,,"Highway 9 & SLV High School",,  37.061214,-122.080193,,
1532R,,"Highway 9 & El Solyo Heights",,  37.065662,-122.079758,,
1533R,,"Highway 9 & El Solyo Heights",,  37.066677,-122.079704,,
1534R,,"Highway 9 & Glen Lomond",,  37.069176,-122.083977,,
1535R,,"Highway 9 & Sunnycroft",,  37.071644,-122.084068,,
1536R,,"Highway 9 & Highlands Park",,  37.079185,-122.083565,,
1537R,,"Highway 9 & Highlands Park",,  37.079517,-122.083397,,
